DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\logging\handlers.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1739036232.4187245
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1739036231.8816888
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\decorators.py first seen with mtime 1739036250.478991
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1739036250.7282522
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1739036205.1564364
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1739036205.1492968
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\__init__.py first seen with mtime 1739036232.325063
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\DLLs\unicodedata.pyd first seen with mtime 1738695966.0
DEBUG 2025-02-08 18:41:19,609 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1739036229.0251179
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1739036231.8866637
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\pkgutil.py first seen with mtime 1738695912.0
